epoch,loss,accuracy,val_loss,val_accuracy,lr,model
0,2.759037733078003,0.6648656725883484,1.5974055528640747,0.7560094594955444,0.001,mixed_model
1,1.3485857248306274,0.7821687459945679,1.5083454847335815,0.7739570736885071,0.00090483745,mixed_model
2,0.9523633122444153,0.8254331946372986,0.9910451173782349,0.8189608454704285,0.0008187308,mixed_model
3,0.7156442999839783,0.8540650606155396,0.9692637920379639,0.8228414058685303,0.0007408183,mixed_model
4,0.579369306564331,0.8753806352615356,0.834636390209198,0.837016224861145,0.0006703201,mixed_model
5,0.4939752519130707,0.8899997472763062,0.771004319190979,0.8442384004592896,0.00060653075,mixed_model
6,0.4382619857788086,0.9015467762947083,0.739793598651886,0.8464481830596924,0.00054881175,mixed_model
7,0.39185425639152527,0.9117329716682434,0.7431539297103882,0.8453163504600525,0.0004965854,mixed_model
8,0.3718316853046417,0.9154248237609863,0.6946159601211548,0.8517839312553406,0.00044932903,mixed_model
9,0.340608686208725,0.9253954291343689,0.6797307133674622,0.8539398312568665,0.0004065697,mixed_model
10,0.3268158435821533,0.9289525151252747,0.6884258389472961,0.8519995212554932,0.0003678795,mixed_model
11,0.31506139039993286,0.9327521324157715,0.6684087514877319,0.85744309425354,0.00033287113,mixed_model
12,0.30392012000083923,0.9365248084068298,0.6629786491394043,0.8593295216560364,0.00030119426,mixed_model
13,0.29417476058006287,0.9389905333518982,0.6585123538970947,0.8598684668540955,0.00027253185,mixed_model
14,0.2861742079257965,0.9413619041442871,0.6613329648971558,0.8574970364570618,0.00024659702,mixed_model
15,0.2763041853904724,0.9455792307853699,0.6361234784126282,0.8622398972511292,0.0002231302,mixed_model
16,0.2695477306842804,0.9471287131309509,0.6362136602401733,0.861754834651947,0.00020189656,mixed_model
17,0.2655751407146454,0.9489476680755615,0.6418873071670532,0.8623477220535278,0.00018268357,mixed_model
18,0.2587001621723175,0.9513999223709106,0.6512802243232727,0.8615392446517944,0.00016529893,mixed_model
19,0.24670104682445526,0.9549300670623779,0.6359704732894897,0.864449679851532,0.00014956866,mixed_model
20,0.24879220128059387,0.954512357711792,0.6280304789543152,0.8651503324508667,0.00013533531,mixed_model
21,0.24178801476955414,0.9564121961593628,0.6409480571746826,0.8615931868553162,0.00012245646,mixed_model
22,0.23428526520729065,0.9592686295509338,0.6276256442070007,0.8668211698532104,0.000110803194,mixed_model
23,0.23197446763515472,0.9594707489013672,0.6153968572616577,0.8686536550521851,0.000100258876,mixed_model
24,0.2295674979686737,0.9611819386482239,0.6090664267539978,0.8698393702507019,9.0717986e-05,mixed_model
25,0.22359681129455566,0.9629874229431152,0.616237223148346,0.8669289350509644,8.2085025e-05,mixed_model
26,0.21965788304805756,0.9633107781410217,0.607559859752655,0.8698393702507019,7.42736e-05,mixed_model
27,0.21583925187587738,0.966180682182312,0.6074580550193787,0.8698393702507019,6.720553e-05,mixed_model
28,0.21279020607471466,0.9657630324363708,0.6089000105857849,0.8696237802505493,6.081008e-05,mixed_model
29,0.2118646502494812,0.9663154482841492,0.6018542647361755,0.8693004250526428,5.502324e-05,mixed_model
30,0.20905527472496033,0.9673259854316711,0.6077923774719238,0.8685458302497864,4.9787086e-05,mixed_model
31,0.20784172415733337,0.9672451615333557,0.6011266708374023,0.870324432849884,4.504922e-05,mixed_model
32,0.20501387119293213,0.9686194658279419,0.6039190888404846,0.8693004250526428,4.076222e-05,mixed_model
33,0.2021169811487198,0.9694682955741882,0.5999440550804138,0.8684919476509094,3.6883182e-05,mixed_model
34,0.2001640796661377,0.9701420068740845,0.6036776900291443,0.8694081902503967,3.3373282e-05,mixed_model
35,0.1985020786523819,0.9707483053207397,0.5984820127487183,0.8704322576522827,3.0197394e-05,mixed_model
36,0.1978118121623993,0.9713816046714783,0.5943360924720764,0.8709712028503418,2.7323733e-05,mixed_model
37,0.19641909003257751,0.9713277220726013,0.5966314673423767,0.8710250854492188,2.4723537e-05,mixed_model
38,0.1964641809463501,0.9709638953208923,0.5963394045829773,0.8715101480484009,2.2370781e-05,mixed_model
39,0.19671492278575897,0.9709504246711731,0.5995506644248962,0.870378315448761,2.024192e-05,mixed_model
40,0.19294805824756622,0.9725807905197144,0.5963460803031921,0.8717796206474304,1.8315646e-05,mixed_model
41,0.19541312754154205,0.9717049598693848,0.5958513021469116,0.8706477880477905,1.6572681e-05,mixed_model
42,0.19095785915851593,0.9726481437683105,0.5938575267791748,0.8711867928504944,1.4995582e-05,mixed_model
43,0.19083398580551147,0.9725537896156311,0.5930652618408203,0.8709173202514648,1.3568564e-05,mixed_model
44,0.1903890073299408,0.9732544422149658,0.5922145247459412,0.8720491528511047,1.22773445e-05,mixed_model
45,0.18715019524097443,0.9749252200126648,0.5942437648773193,0.8718874454498291,1.1109001e-05,mixed_model
46,0.18828436732292175,0.9735778570175171,0.5907883048057556,0.8717796206474304,1.005184e-05,mixed_model
47,0.18884775042533875,0.9729984402656555,0.5931506752967834,0.871941328048706,9.095281e-06,mixed_model
48,0.18768173456192017,0.9742110967636108,0.5915544033050537,0.8721569180488586,8.22975e-06,mixed_model
49,0.18848121166229248,0.9732140302658081,0.5904878377914429,0.8718335628509521,7.446586e-06,mixed_model
50,0.18858352303504944,0.9731601476669312,0.5917079448699951,0.8720491528511047,6.7379497e-06,mixed_model
51,0.1868933141231537,0.9740493893623352,0.5910225510597229,0.8718335628509521,6.096749e-06,mixed_model
52,0.18687736988067627,0.9741572141647339,0.5899279713630676,0.8721569180488586,5.516567e-06,mixed_model
53,0.1863730102777481,0.9745344519615173,0.5904492139816284,0.8718335628509521,4.991596e-06,mixed_model
54,0.18457168340682983,0.9749521613121033,0.590445339679718,0.8718874454498291,4.516583e-06,mixed_model
55,0.18658193945884705,0.9739550948143005,0.5899884700775146,0.8721569180488586,4.0867735e-06,mixed_model
56,0.1864154189825058,0.9741033315658569,0.5899465084075928,0.8722108006477356,3.6978656e-06,mixed_model
57,0.18567609786987305,0.9742919206619263,0.5898299217224121,0.8722108006477356,3.3459671e-06,mixed_model
58,0.18384456634521484,0.9755045771598816,0.5896864533424377,0.871941328048706,3.0275562e-06,mixed_model
59,0.18620967864990234,0.9742919206619263,0.589995265007019,0.8721569180488586,2.7394462e-06,mixed_model
60,0.18534798920154572,0.974399745464325,0.589485228061676,0.8720491528511047,2.4787535e-06,mixed_model
61,0.1865365207195282,0.9746153354644775,0.5901783108711243,0.8721569180488586,2.242869e-06,mixed_model
62,0.1878616064786911,0.9734430909156799,0.5894603133201599,0.8718874454498291,2.0294317e-06,mixed_model
63,0.18734219670295715,0.9737799167633057,0.5893974304199219,0.871995210647583,1.8363057e-06,mixed_model
64,0.18641410768032074,0.9749117493629456,0.5892231464385986,0.8721569180488586,1.6615581e-06,mixed_model
65,0.18573229014873505,0.9739146828651428,0.5891357660293579,0.8721030354499817,1.50344e-06,mixed_model
66,0.18525797128677368,0.9746018648147583,0.589175283908844,0.8724803328514099,1.3603687e-06,mixed_model
67,0.18694338202476501,0.9741302728652954,0.5888018012046814,0.8721569180488586,1.2309125e-06,mixed_model
68,0.18450938165187836,0.9752081632614136,0.5889837741851807,0.8720491528511047,1.1137757e-06,mixed_model
69,0.18628232181072235,0.9743593335151672,0.5887790322303772,0.8722108006477356,1.007786e-06,mixed_model
70,0.1848946213722229,0.9745075106620789,0.5889901518821716,0.8721030354499817,9.1188247e-07,mixed_model
71,0.18478095531463623,0.9749252200126648,0.5885486602783203,0.8723186254501343,8.2510536e-07,mixed_model
72,0.1843641698360443,0.9745209813117981,0.5886998772621155,0.871941328048706,7.4658624e-07,mixed_model
73,0.18358592689037323,0.9743728041648865,0.5886717438697815,0.871941328048706,6.755392e-07,mixed_model
74,0.18354465067386627,0.9753159284591675,0.588435709476471,0.871941328048706,6.1125314e-07,mixed_model
75,0.18252000212669373,0.9753159284591675,0.5886561870574951,0.8723186254501343,5.530847e-07,mixed_model
76,0.18432456254959106,0.9747904539108276,0.5888362526893616,0.8722647428512573,5.0045173e-07,mixed_model
77,0.1835838258266449,0.9753968119621277,0.5889772176742554,0.8722108006477356,4.5282746e-07,mixed_model
78,0.18567955493927002,0.9742110967636108,0.5887738466262817,0.8722108006477356,4.0973524e-07,mixed_model
79,0.1847950965166092,0.9746692180633545,0.5886632204055786,0.8722647428512573,3.7074378e-07,mixed_model
80,0.1844843477010727,0.9745075106620789,0.5886160135269165,0.8722647428512573,3.3546286e-07,mixed_model
81,0.18472573161125183,0.9743728041648865,0.5886095762252808,0.8722108006477356,3.0353934e-07,mixed_model
82,0.18350952863693237,0.9752485752105713,0.5884976983070374,0.8722647428512573,2.7465376e-07,mixed_model
83,0.18689149618148804,0.9744266867637634,0.5886452198028564,0.8722108006477356,2.48517e-07,mixed_model
84,0.1848631352186203,0.974399745464325,0.5885674953460693,0.8723186254501343,2.2486749e-07,mixed_model
